순위,광역시/도,시/군/구,관광지명,도로명주소,중분류 카테고리,소분류 카테고리,검색건수
127,인천광역시,남동구,인천대공원,인천 남동구 무네미로 236-0,문화관광,도시공원,224362
128,서울특별시,성동구,서울숲,서울 성동구 뚝섬로 273-0,문화관광,도시공원,224269
129,경상북도,포항시 북구,죽도시장,경북 포항시 북구 죽도시장13길 13-1,쇼핑,시장,222282
130,경기도,여주시,신세계프리미엄아울렛여주점(EAST),경기 여주시 명품로 360-0,쇼핑,쇼핑몰,222123
131,경기도,수원시 영통구,광교호수공원,경기 수원시 영통구 광교호수공원로 102-0,문화관광,도시공원,221720
132,경상남도,김해시,코스트코홀세일김해점,경남 김해시 선천남로 16-0,쇼핑,대형마트,219836
133,부산광역시,기장군,해동용궁사,부산 기장군 용궁길 86-0,역사관광,종교성지,216821
134,경기도,수원시 팔달구,AK플라자수원,경기 수원시 팔달구 덕영대로 924-0,쇼핑,백화점,215940
135,서울특별시,서대문구,현대백화점신촌점,서울 서대문구 신촌로 83-0,쇼핑,백화점,215502
136,충청북도,청주시 흥덕구,청주시외버스터미널,충북 청주시 흥덕구 풍산로 6-0,기타관광,교통시설,214464
137,서울특별시,강서구,김포국제공항국제선,서울 강서구 하늘길 38-0,기타관광,교통시설,214101
138,부산광역시,중구,롯데백화점광복점,부산 중구 중앙대로 2-0,쇼핑,백화점,209858
139,대구광역시,동구,대구국제공항,대구 동구 공항로 221-0,기타관광,교통시설,208556
140,부산광역시,해운대구,벡스코제1전시장,부산 해운대구 APEC로 55-0,문화관광,전시시설,207165
141,서울특별시,중구,현대시티아울렛동대문점,서울 중구 장충단로13길 20-0,쇼핑,쇼핑몰,206877
142,인천광역시,연수구,송도컨벤시아,인천 연수구 센트럴로 123-0,문화관광,전시시설,205040
143,서울특별시,강서구,NC백화점강서점,서울 강서구 강서로56길 17-0,쇼핑,백화점,202000
144,서울특별시,서초구,하나로마트양재점,서울 서초구 청계산로 10-0,쇼핑,대형마트,201468
145,부산광역시,수영구,코스트코홀세일부산점,부산 수영구 구락로 137-0,쇼핑,대형마트,200339
146,인천광역시,연수구,송도센트럴파크,인천 연수구 컨벤시아대로 160-0,문화관광,도시공원,199555
147,경상남도,통영시,통영중앙전통시장,경남 통영시 중앙시장1길 14-16,쇼핑,시장,199169
148,경기도,안양시 동안구,안양농수산물도매시장,경기 안양시 동안구 흥안대로 313-0,쇼핑,시장,195560
149,인천광역시,강화군,동막해수욕장,인천 강화군 해안남로 1481-0,자연관광,자연경관(하천/해양),194473
150,전라북도,전주시 덕진구,전주역,전북 전주시 덕진구 동부대로 680-0,기타관광,교통시설,193921
151,경기도,부천시,롯데백화점중동점,경기 부천시 길주로 300-0,쇼핑,백화점,193703
152,강원도,강릉시,주문진항,강원 강릉시 해안로 1758-14,자연관광,자연경관(하천/해양),193063
153,경기도,성남시 분당구,율동공원,경기 성남시 분당구 문정로 145-0,문화관광,도시공원,192330
154,서울특별시,영등포구,롯데백화점영등포점,서울 영등포구 경인로 846-0,쇼핑,백화점,192301
155,경기도,화성시,이마트동탄점,경기 화성시 동탄중앙로 376-0,쇼핑,대형마트,191394
156,경상북도,김천시,김천구미역,경북 김천시 혁신1로 51-0,기타관광,교통시설,190508
157,강원도,평창군,휘닉스평창,강원 평창군 태기로 174-0,문화관광,복합관광시설,190190
158,경기도,파주시,헤이리예술마을,경기 파주시 헤이리마을길 59-118,기타관광,기타관광,189998
159,강원도,강릉시,강릉중앙시장,강원 강릉시 금성로 21-0,쇼핑,시장,188116
160,대구광역시,중구,서문시장,대구 중구 큰장로26길 45-0,쇼핑,시장,187986
161,부산광역시,사상구,부산서부버스터미널,부산 사상구 사상로 201-0,기타관광,교통시설,187831
162,대구광역시,중구,더현대대구,대구 중구 달구벌대로 2077-0,쇼핑,백화점,183927
163,서울특별시,성동구,이마트성수점,서울 성동구 뚝섬로 379-0,쇼핑,대형마트,182203
164,경상남도,양산시,통도사,경남 양산시 통도사로 108-0,역사관광,종교성지,180653
165,서울특별시,성북구,현대백화점미아점,서울 성북구 동소문로 315-0,쇼핑,백화점,180137
166,서울특별시,종로구,경복궁,서울 종로구 사직로 161-0,역사관광,역사유적지,179296
167,서울특별시,용산구,CGV용산아이파크몰,서울 용산구 한강대로23길 55-0,문화관광,공연시설,179174
168,강원도,양양군,낙산사,강원 양양군 낙산사로 100-0,역사관광,종교성지,178999
169,경기도,고양시 일산동구,라페스타,경기 고양시 일산동구 무궁화로 20-11,쇼핑,쇼핑몰,176481
170,서울특별시,서초구,반포한강공원,서울 서초구 신반포로11길 40-0,문화관광,도시공원,176310
171,충청남도,천안시 동남구,독립기념관,충남 천안시 동남구 독립기념관로 1-0,문화관광,전시시설,172842
172,경상북도,경주시,동궁과월지,경북 경주시 원화로 102-0,역사관광,역사유적지,171140
173,충청남도,천안시 서북구,코스트코홀세일천안점,충남 천안시 서북구 3공단6로 77-0,쇼핑,대형마트,170869
174,서울특별시,용산구,남산서울타워,서울 용산구 남산공원길 105-0,문화관광,랜드마크관광,170849
175,강원도,속초시,설악케이블카,강원 속초시 설악산로 1085-0,기타관광,기타관광,170722
176,경기도,파주시,마장호수출렁다리,경기 파주시,기타관광,기타관광,169704
177,경기도,광주시,화담숲,경기 광주시 도척윗로 278-1,자연관광,자연공원,169431
178,제주특별자치도,제주시,함덕해수욕장,제주 제주시 조함해안로 525-0,자연관광,자연경관(하천/해양),168599
179,경기도,용인시 처인구,캐리비안베이,경기 용인시 처인구 에버랜드로 199-0,문화관광,테마공원,168544
180,경상북도,포항시 북구,포항역,경북 포항시 북구 포항역로 1-0,기타관광,교통시설,168131
181,경기도,광명시,롯데몰광명점,경기 광명시 일직로 17-0,쇼핑,쇼핑몰,167145
182,대전광역시,서구,롯데백화점대전점,대전 서구 계룡로 598-0,쇼핑,백화점,166797
183,부산광역시,금정구,부산종합버스터미널,부산 금정구 중앙대로 2238-0,기타관광,교통시설,165924
184,서울특별시,영등포구,신세계백화점타임스퀘어점,서울 영등포구 영중로 9-0,쇼핑,백화점,165901
185,경기도,구리시,롯데백화점구리점,경기 구리시 경춘로 261-0,쇼핑,백화점,165723
186,경상북도,포항시 북구,영일대해수욕장,경북 포항시 북구,자연관광,자연경관(하천/해양),165018
187,경기도,고양시 일산동구,롯데백화점일산점,경기 고양시 일산동구 중앙로 1283-0,쇼핑,백화점,164918
188,제주특별자치도,서귀포시,성산일출봉,제주 서귀포시 일출로 284-12,자연관광,자연경관(산),164917
189,전라남도,목포시,목포역,전남 목포시 영산로 98-0,기타관광,교통시설,164525
190,강원도,속초시,대포항,강원 속초시,자연관광,자연경관(하천/해양),164146
